Outflow,Twelevation
51800,3145.015257
51850,3145.022256
51900,3145.029252
51950,3145.036245
52000,3145.043234
52050,3145.05022
52100,3145.057203
52150,3145.064182
52200,3145.071158
52250,3145.07813
52300,3145.085099
52350,3145.092065
52400,3145.099027
52450,3145.105987
52500,3145.112942
52550,3145.119895
52600,3145.126844
52650,3145.13379
52700,3145.140733
52750,3145.147672
52800,3145.154608
52850,3145.161541
52900,3145.16847
52950,3145.175397
53000,3145.18232
53050,3145.189239
53100,3145.196156
53150,3145.203069
53200,3145.209979
53250,3145.216885
53300,3145.223789
53350,3145.230689
53400,3145.237586
53450,3145.24448
53500,3145.25137
53550,3145.258257
53600,3145.265142
53650,3145.272022
53700,3145.2789
53750,3145.285774
53800,3145.292646
53850,3145.299514
53900,3145.306379
53950,3145.31324
54000,3145.320099
54050,3145.326954
54100,3145.333806
54150,3145.340655
54200,3145.347501
54250,3145.354344
54300,3145.361183
54350,3145.36802
54400,3145.374853
54450,3145.381683
54500,3145.38851
54550,3145.395334
54600,3145.402155
54650,3145.408972
54700,3145.415787
54750,3145.422598
54800,3145.429406
54850,3145.436211
54900,3145.443013
54950,3145.449812
55000,3145.456608
55050,3145.463401
55100,3145.470191
55150,3145.476977
55200,3145.483761
55250,3145.490541
55300,3145.497319
55350,3145.504093
55400,3145.510864
55450,3145.517632
55500,3145.524397
55550,3145.53116
55600,3145.537919
55650,3145.544675
55700,3145.551428
55750,3145.558178
55800,3145.564925
55850,3145.571668
55900,3145.578409
55950,3145.585147
56000,3145.591882
56050,3145.598614
56100,3145.605343
56150,3145.612069
56200,3145.618792
56250,3145.625511
56300,3145.632228
56350,3145.638942
56400,3145.645653
56450,3145.652361
56500,3145.659066
56550,3145.665768
56600,3145.672467
56650,3145.679163
56700,3145.685856
56750,3145.692547
56800,3145.699234
56850,3145.705918
56900,3145.7126
56950,3145.719278
57000,3145.725953
57050,3145.732626
57100,3145.739296
57150,3145.745962
57200,3145.752626
57250,3145.759287
57300,3145.765945
57350,3145.7726
57400,3145.779252
57450,3145.785902
57500,3145.792548
57550,3145.799192
57600,3145.805832
57650,3145.81247
57700,3145.819105
57750,3145.825737
57800,3145.832366
57850,3145.838992
57900,3145.845616
57950,3145.852236
58000,3145.858854
58050,3145.865469
58100,3145.872081
58150,3145.87869
58200,3145.885296
58250,3145.8919
58300,3145.8985
58350,3145.905098
58400,3145.911693
58450,3145.918285
58500,3145.924874
58550,3145.931461
58600,3145.938045
58650,3145.944625
58700,3145.951204
58750,3145.957779
58800,3145.964351
58850,3145.970921
58900,3145.977488
58950,3145.984052
59000,3145.990613
59050,3145.997172
59100,3146.003728
59150,3146.010281
59200,3146.016831
59250,3146.023378
59300,3146.029923
59350,3146.036465
59400,3146.043004
59450,3146.049541
59500,3146.056074
59550,3146.062605
59600,3146.069134
59650,3146.075659
59700,3146.082182
59750,3146.088702
59800,3146.095219
59850,3146.101734
59900,3146.108245
59950,3146.114755
60000,3146.121261
60050,3146.127765
60100,3146.134266
60150,3146.140764
60200,3146.147259
60250,3146.153752
60300,3146.160243
60350,3146.16673
60400,3146.173215
60450,3146.179697
60500,3146.186176
60550,3146.192653
60600,3146.199127
60650,3146.205599
60700,3146.212068
60750,3146.218534
60800,3146.224997
60850,3146.231458
60900,3146.237916
60950,3146.244371
61000,3146.250824
61050,3146.257274
61100,3146.263722
61150,3146.270167
61200,3146.276609
61250,3146.283049
61300,3146.289486
61350,3146.29592
61400,3146.302352
61450,3146.308781
61500,3146.315208
61550,3146.321632
61600,3146.328053
61650,3146.334472
61700,3146.340888
61750,3146.347301
61800,3146.353712
61850,3146.36012
61900,3146.366526
61950,3146.372929
62000,3146.37933
62050,3146.385728
62100,3146.392123
62150,3146.398516
62200,3146.404906
62250,3146.411294
62300,3146.417679
62350,3146.424062
62400,3146.430442
62450,3146.436819
62500,3146.443194
62550,3146.449566
62600,3146.455936
62650,3146.462303
62700,3146.468668
62750,3146.47503
62800,3146.48139
62850,3146.487747
62900,3146.494102
62950,3146.500454
63000,3146.506803
63050,3146.51315
63100,3146.519495
63150,3146.525837
63200,3146.532176
63250,3146.538513
63300,3146.544848
63350,3146.55118
63400,3146.557509
63450,3146.563836
63500,3146.570161
63550,3146.576483
63600,3146.582802
63650,3146.589119
63700,3146.595434
63750,3146.601746
63800,3146.608055
63850,3146.614362
63900,3146.620667
