,inflow
Sep-99,107130
Oct-99,96046
Nov-99,94678
Dec-99,94670
Jan-00,102099
Feb-00,111242
Mar-00,120052
Apr-00,82553
May-00,85508
Jun-00,85890
Jul-00,75152
Aug-00,79167
Sep-00,94634
Oct-00,108175
Nov-00,87875
Dec-00,88415
1-Jan,82000
1-Feb,95019
1-Mar,117297
1-Apr,99716
1-May,97580
1-Jun,102493
1-Jul,74131
1-Aug,108001
1-Sep,103609
1-Oct,80391
1-Nov,83102
1-Dec,74034
2-Jan,76900
2-Feb,81757
2-Mar,79954
2-Apr,69630
2-May,75341
2-Jun,59604
2-Jul,64042
2-Aug,70911
2-Sep,161567
2-Oct,78865
2-Nov,83276
2-Dec,78360
3-Jan,81125
3-Feb,84267
3-Mar,102167
3-Apr,88471
3-May,77668
3-Jun,67405
3-Jul,70997
3-Aug,100545
3-Sep,88258
3-Oct,85864
3-Nov,79671
3-Dec,75374
4-Jan,78774
4-Feb,97122
4-Mar,87251
4-Apr,97524
4-May,88339
4-Jun,74239
4-Jul,93167
4-Aug,105759
4-Sep,112251
4-Oct,128312
4-Nov,103560
4-Dec,87867
5-Jan,263777
5-Feb,228545
5-Mar,163042
5-Apr,210677
5-May,235753
5-Jun,102023
5-Jul,85857
5-Aug,96297
5-Sep,100742
5-Oct,94587
5-Nov,86924
5-Dec,72547
6-Jan,88215
6-Feb,85789
6-Mar,123513
6-Apr,110453
6-May,101661
6-Jun,70258
6-Jul,78199
6-Aug,125066
6-Sep,108042
6-Oct,132721
6-Nov,73944
6-Dec,82305
7-Jan,81335
7-Feb,86850
7-Mar,102181
7-Apr,91216
7-May,91345
7-Jun,85352
7-Jul,101593
7-Aug,152554
7-Sep,95080
7-Oct,81494
7-Nov,88398
7-Dec,126370
8-Jan,110926
8-Feb,156280
8-Mar,146361
8-Apr,89399
8-May,78050
8-Jun,68112
8-Jul,84795
8-Aug,95895
8-Sep,93271
8-Oct,92377
8-Nov,99661
8-Dec,83219
9-Jan,95413
9-Feb,99498
9-Mar,136053
9-Apr,105903
9-May,112786
9-Jun,92065
9-Jul,84621
9-Aug,77889
9-Sep,83749
9-Oct,82068
9-Nov,80373
9-Dec,79725
10-Jan,101037
10-Feb,96756
10-Mar,124565
10-Apr,163225
10-May,117034
10-Jun,86384
10-Jul,83733
10-Aug,147674
10-Sep,99890
10-Oct,102304
10-Nov,73865
10-Dec,215114
11-Jan,95671
11-Feb,94721
11-Mar,116276
11-Apr,156849
11-May,145912
11-Jun,98903
11-Jul,89126
11-Aug,92017
11-Sep,101815
11-Oct,99142
11-Nov,96688
11-Dec,112716
12-Jan,99512
12-Feb,78777
12-Mar,85006
12-Apr,76067
12-May,75379
12-Jun,77138
12-Jul,85142
12-Aug,129523
12-Sep,109455
12-Oct,88281
12-Nov,89585
12-Dec,85728
13-Jan,98789
13-Feb,97704
13-Mar,116587
13-Apr,81460
13-May,81999
13-Jun,79312
13-Jul,122155
13-Aug,129966
13-Sep,145973
13-Oct,75919
13-Nov,87452
13-Dec,86581
14-Jan,81946
14-Feb,90318
14-Mar,89291
14-Apr,79358
14-May,82517
14-Jun,80142
14-Jul,83683
14-Aug,100553
14-Sep,113669
14-Oct,100340
14-Nov,84296
14-Dec,90121
15-Jan,89370
15-Feb,95116
15-Mar,100807
15-Apr,80716
15-May,84876
15-Jun,70606
15-Jul,69456
15-Aug,110944
15-Sep,100263
15-Oct,122551
15-Nov,93551
15-Dec,87397
16-Jan,96330
16-Feb,100595
16-Mar,96140
16-Apr,95939
16-May,92935
16-Jun,83634
16-Jul,81765
16-Aug,104890
16-Sep,90453
16-Oct,87315
16-Nov,93500
16-Dec,104503
17-Jan,112002
17-Feb,135125
17-Mar,133523
17-Apr,121980
17-May,95547
17-Jun,80301
17-Jul,89172
17-Aug,97250
17-Sep,80588
17-Oct,82100
17-Nov,82093
17-Dec,83611
