,inflow
Feb-74,360746
Mar-74,777349
Apr-74,957593
May-74,3351336
Jun-74,3263962
Jul-74,1517615
Aug-74,734400
Sep-74,369249
Oct-74,411068
Nov-74,483002
Dec-74,302667
Jan-75,341939
Feb-75,359748
Mar-75,623972
Apr-75,890582
May-75,2780708
Jun-75,4978289
Jul-75,3856879
Aug-75,1005515
Sep-75,531572
Oct-75,380544
Nov-75,400144
Dec-75,385753
Jan-76,331866
Feb-76,470842
Mar-76,550454
Apr-76,869848
May-76,2512561
Jun-76,2769885
Jul-76,1290938
Aug-76,742776
Sep-76,495553
Oct-76,413237
Nov-76,346289
Dec-76,249793
Jan-77,288957
Feb-77,300439
Mar-77,269027
Apr-77,374668
May-77,615729
Jun-77,947165
Jul-77,656724
Aug-77,589839
Sep-77,383414
Oct-77,312951
Nov-77,325794
Dec-77,312901
Jan-78,367778
Feb-78,315282
Mar-78,648044
Apr-78,1296958
May-78,2766703
Jun-78,4925744
Jul-78,2430502
Aug-78,786796
Sep-78,403348
Oct-78,337622
Nov-78,484296
Dec-78,396615
Jan-79,378857
Feb-79,400248
Mar-79,820933
Apr-79,1857833
May-79,4004564
Jun-79,5026746
Jul-79,2479879
Aug-79,1031694
Sep-79,390308
Oct-79,323695
Nov-79,384109
Dec-79,342074
Jan-80,454812
Feb-80,621801
Mar-80,655913
Apr-80,1533104
May-80,4411033
Jun-80,5201268
Jul-80,2030441
Aug-80,666000
Sep-80,685451
Oct-80,352771
Nov-80,414053
Dec-80,414613
Jan-81,331751
Feb-81,320735
Mar-81,403089
Apr-81,680995
May-81,1245716
Jun-81,2312416
Jul-81,1088394
Aug-81,499716
Sep-81,574463
Oct-81,672482
Nov-81,434368
Dec-81,353000
Jan-82,295281
Feb-82,394385
Mar-82,686508
Apr-82,1065078
May-82,3217382
Jun-82,4243695
Jul-82,2771662
Aug-82,1570235
Sep-82,1020835
Oct-82,886751
Nov-82,636169
Dec-82,544782
Jan-83,423722
Feb-83,485406
Mar-83,985487
Apr-83,1250150
May-83,3843553
Jun-83,7589336
Jul-83,4407247
Aug-83,1926961
Sep-83,750277
Oct-83,829643
Nov-83,556130
Dec-83,526927
Jan-84,311094
Feb-84,465756
Mar-84,787467
Apr-84,1579150
May-84,6627906
Jun-84,6456738
Jul-84,3371682
Aug-84,1802366
Sep-84,863122
Oct-84,889855
Nov-84,652722
Dec-84,548542
Jan-85,474478
Feb-85,468833
Mar-85,1198030
Apr-85,2841665
May-85,5606203
Jun-85,4682799
Jul-85,2061930
Aug-85,976416
Sep-85,643102
Oct-85,880692
Nov-85,638341
Dec-85,568455
Jan-86,416980
Feb-86,681252
Mar-86,1062442
Apr-86,2389295
May-86,4295237
Jun-86,6117832
Jul-86,3163287
Aug-86,1245272
Sep-86,909360
Oct-86,1165093
Nov-86,924652
Dec-86,607566
Jan-87,403771
Feb-87,646283
Mar-87,1016769
Apr-87,2161718
May-87,3708378
Jun-87,3044527
Jul-87,1354813
Aug-87,989927
Sep-87,572968
Oct-87,498469
Nov-87,609293
Dec-87,327295
Jan-88,307806
Feb-88,451527
Mar-88,731963
Apr-88,1224856
May-88,2202913
Jun-88,2756571
Jul-88,1285309
Aug-88,791840
Sep-88,480968
Oct-88,410073
Nov-88,283487
Dec-88,261152
Jan-89,222003
Feb-89,360639
Mar-89,872629
Apr-89,1291130
May-89,1780594
Jun-89,1906227
Jul-89,1073067
Aug-89,744386
Sep-89,346845
Oct-89,304804
Nov-89,326295
Dec-89,245558
Jan-90,266046
Feb-90,267742
Mar-90,427332
Apr-90,693040
May-90,1309993
Jun-90,2636518
Jul-90,1326354
Aug-90,645994
Sep-90,524335
Oct-90,578174
Nov-90,430359
Dec-90,245004
Jan-91,308190
Feb-91,386858
Mar-91,534880
Apr-91,945693
May-91,2363462
Jun-91,3433682
Jul-91,1438152
Aug-91,910553
Sep-91,769594
Oct-91,325417
Nov-91,549344
Dec-91,356655
Jan-92,307263
Feb-92,465833
Mar-92,678165
Apr-92,1244864
May-92,2496009
Jun-92,2061844
Jul-92,1224167
Aug-92,815534
Sep-92,543435
Oct-92,367263
Nov-92,426222
Dec-92,285728
Jan-93,537159
Feb-93,492596
Mar-93,1001611
Apr-93,1559826
May-93,4906068
Jun-93,5082810
Jul-93,2295303
Aug-93,1091852
Sep-93,651090
Oct-93,538432
Nov-93,412416
Dec-93,346891
Jan-94,375164
Feb-94,355563
Mar-94,708032
Apr-94,927922
May-94,2498768
Jun-94,2425265
Jul-94,925153
Aug-94,612132
Sep-94,485511
Oct-94,497466
Nov-94,395872
Dec-94,374202
Jan-95,332824
Feb-95,435433
Mar-95,932264
Apr-95,862634
May-95,2644053
Jun-95,6427413
Jul-95,4857458
Aug-95,1548792
Sep-95,564350
Oct-95,537662
Nov-95,464878
Dec-95,380049
Jan-96,365854
Feb-96,483711
Mar-96,523383
Apr-96,1218497
May-96,3562190
Jun-96,3603750
Jul-96,1810436
Aug-96,636451
Sep-96,466084
Oct-96,498177
Nov-96,605282
Dec-96,442930
Jan-97,458291
Feb-97,384425
Mar-97,1172665
Apr-97,1700486
May-97,4912300
Jun-97,6052692
Jul-97,2176559
Aug-97,1463792
Sep-97,1317326
Oct-97,957047
Nov-97,636013
Dec-97,454378
Jan-98,493364
Feb-98,441149
Mar-98,828494
Apr-98,1518916
May-98,3878483
Jun-98,3568588
Jul-98,2377056
Aug-98,1128181
Sep-98,686904
Oct-98,681440
Nov-98,711183
Dec-98,389712
Jan-99,465858
Feb-99,441351
Mar-99,663764
Apr-99,914504
May-99,2834474
Jun-99,4484917
Jul-99,2339725
Aug-99,1612581
Sep-99,913322
Oct-99,460266
Nov-99,385793
Dec-99,357784
Jan-00,401041
Feb-00,416702
Mar-00,554739
Apr-00,1213677
May-00,2690228
Jun-00,2185673
Jul-00,944249
Aug-00,503050
Sep-00,428106
Oct-00,450706
Nov-00,395470
Dec-00,350269
1-Jan,318401
1-Feb,337573
1-Mar,656354
1-Apr,1002791
1-May,3038452
1-Jun,2229715
1-Jul,1031679
1-Aug,782142
1-Sep,429597
1-Oct,279073
1-Nov,336873
1-Dec,283249
2-Jan,278065
2-Feb,254800
2-Mar,383203
2-Apr,622934
2-May,817517
2-Jun,1053311
2-Jul,645330
2-Aug,387719
2-Sep,528662
2-Oct,349657
2-Nov,414705
2-Dec,287582
3-Jan,280227
3-Feb,269126
3-Mar,520580
3-Apr,712860
3-May,2265669
3-Jun,2912610
3-Jul,1173071
3-Aug,595151
3-Sep,674011
3-Oct,380153
