,inflow
Aug-99,52840
Sep-99,57130
Oct-99,46046
Nov-99,44678
Dec-99,44670
Jan-00,52099
Feb-00,61242
Mar-00,70052
Apr-00,32553
May-00,35508
Jun-00,35890
Jul-00,25152
Aug-00,29167
Sep-00,44634
Oct-00,58175
Nov-00,37875
Dec-00,38415
1-Jan,32000
1-Feb,45019
1-Mar,67297
1-Apr,49716
1-May,47580
1-Jun,52493
1-Jul,24131
1-Aug,58001
1-Sep,53609
1-Oct,30391
1-Nov,33102
1-Dec,24034
2-Jan,26900
2-Feb,31757
2-Mar,29954
2-Apr,19630
2-May,25341
2-Jun,9604
2-Jul,14042
2-Aug,20911
2-Sep,111567
2-Oct,28865
2-Nov,33276
2-Dec,28360
3-Jan,31125
3-Feb,34267
3-Mar,52167
3-Apr,38471
3-May,27668
3-Jun,17405
3-Jul,20997
3-Aug,50545
3-Sep,38258
3-Oct,35864
3-Nov,29671
3-Dec,25374
4-Jan,28774
4-Feb,47122
4-Mar,37251
4-Apr,47524
4-May,38339
4-Jun,24239
4-Jul,43167
4-Aug,55759
4-Sep,62251
4-Oct,78312
4-Nov,53560
4-Dec,37867
5-Jan,213777
5-Feb,178545
5-Mar,113042
5-Apr,160677
5-May,185753
5-Jun,52023
5-Jul,35857
5-Aug,46297
5-Sep,50742
5-Oct,44587
5-Nov,36924
5-Dec,22547
6-Jan,38215
6-Feb,35789
6-Mar,73513
6-Apr,60453
6-May,51661
6-Jun,20258
6-Jul,28199
6-Aug,75066
6-Sep,58042
6-Oct,82721
6-Nov,23944
6-Dec,32305
7-Jan,31335
7-Feb,36850
7-Mar,52181
7-Apr,41216
7-May,41345
7-Jun,35352
7-Jul,51593
7-Aug,102554
7-Sep,45080
7-Oct,31494
7-Nov,38398
7-Dec,76370
8-Jan,60926
8-Feb,106280
8-Mar,96361
8-Apr,39399
8-May,28050
8-Jun,18112
8-Jul,34795
8-Aug,45895
8-Sep,43271
8-Oct,42377
8-Nov,49661
8-Dec,33219
9-Jan,45413
9-Feb,49498
