,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo10MAF
1122,15,10,9,40
1123,15,10,10,40
1124,15,10,11,5
1125,15,11,3,40
1126,15,11,4,40
1127,15,11,5,40
1128,15,11,6,40
1129,15,11,7,40
1130,15,11,8,40
1131,15,11,9,40
1132,15,11,10,40
1133,15,11,11,40
1134,15,12,3,40
1135,15,12,4,40
1136,15,12,5,40
1137,15,12,6,40
1138,15,12,7,40
1139,15,12,8,40
1140,15,12,9,40
1141,15,12,10,40
1142,15,12,11,40
1143,15,13,3,40
1144,15,13,4,40
1145,15,13,5,40
1146,15,13,6,40
1147,15,13,7,40
1148,15,13,8,40
1149,15,13,9,40
1150,15,13,10,40
1151,15,13,11,40
1152,15,14,3,40
1153,15,14,4,40
1154,15,14,5,40
1155,15,14,6,40
1156,15,14,7,40
1157,15,14,8,40
1158,15,14,9,40
1159,15,14,10,40
1160,15,14,11,40
1161,15,15,3,40
1162,15,15,4,40
1163,15,15,5,40
1164,15,15,6,40
1165,15,15,7,40
1166,15,15,8,40
1167,15,15,9,40
1168,15,15,10,40
1169,15,15,11,40
1170,16,3,3,40
1171,16,3,4,6
1172,16,3,5,3
1173,16,3,6,2
1174,16,3,7,2
1175,16,3,8,2
1176,16,3,9,1
1177,16,3,10,1
1178,16,3,11,1
1179,16,4,3,40
1180,16,4,4,40
1181,16,4,5,6
1182,16,4,6,3
1183,16,4,7,2
1184,16,4,8,2
1185,16,4,9,2
1186,16,4,10,1
1187,16,4,11,1
1188,16,5,3,40
1189,16,5,4,40
1190,16,5,5,40
1191,16,5,6,6
1192,16,5,7,3
1193,16,5,8,2
1194,16,5,9,2
1195,16,5,10,2
1196,16,5,11,1
1197,16,6,3,40
1198,16,6,4,40
1199,16,6,5,40
1200,16,6,6,40
1201,16,6,7,6
1202,16,6,8,3
1203,16,6,9,2
1204,16,6,10,2
1205,16,6,11,2
1206,16,7,3,40
1207,16,7,4,40
1208,16,7,5,40
1209,16,7,6,40
1210,16,7,7,40
1211,16,7,8,6
1212,16,7,9,3
1213,16,7,10,2
1214,16,7,11,2
1215,16,8,3,40
1216,16,8,4,40
1217,16,8,5,40
1218,16,8,6,40
1219,16,8,7,40
1220,16,8,8,40
1221,16,8,9,6
1222,16,8,10,3
1223,16,8,11,2
1224,16,9,3,40
1225,16,9,4,40
1226,16,9,5,40
1227,16,9,6,40
1228,16,9,7,40
1229,16,9,8,40
1230,16,9,9,40
1231,16,9,10,6
1232,16,9,11,3
1233,16,10,3,40
1234,16,10,4,40
1235,16,10,5,40
1236,16,10,6,40
1237,16,10,7,40
1238,16,10,8,40
1239,16,10,9,40
1240,16,10,10,40
1241,16,10,11,6
1242,16,11,3,40
1243,16,11,4,40
1244,16,11,5,40
1245,16,11,6,40
1246,16,11,7,40
1247,16,11,8,40
1248,16,11,9,40
1249,16,11,10,40
1250,16,11,11,40
1251,16,12,3,40
1252,16,12,4,40
1253,16,12,5,40
1254,16,12,6,40
1255,16,12,7,40
1256,16,12,8,40
1257,16,12,9,40
1258,16,12,10,40
1259,16,12,11,40
1260,16,13,3,40
1261,16,13,4,40
1262,16,13,5,40
1263,16,13,6,40
1264,16,13,7,40
1265,16,13,8,40
1266,16,13,9,40
1267,16,13,10,40
1268,16,13,11,40
1269,16,14,3,40
1270,16,14,4,40
1271,16,14,5,40
1272,16,14,6,40
1273,16,14,7,40
1274,16,14,8,40
1275,16,14,9,40
1276,16,14,10,40
1277,16,14,11,40
1278,16,15,3,40
1279,16,15,4,40
1280,16,15,5,40
1281,16,15,6,40
1282,16,15,7,40
1283,16,15,8,40
1284,16,15,9,40
1285,16,15,10,40
1286,16,15,11,40
1287,17,3,3,40
1288,17,3,4,7
1289,17,3,5,4
1290,17,3,6,3
1291,17,3,7,2
1292,17,3,8,2
1293,17,3,9,2
1294,17,3,10,1
1295,17,3,11,1
1296,17,4,3,40
1297,17,4,4,40
1298,17,4,5,7
1299,17,4,6,4
1300,17,4,7,3
1301,17,4,8,2
1302,17,4,9,2
1303,17,4,10,2
1304,17,4,11,1
1305,17,5,3,40
1306,17,5,4,40
1307,17,5,5,40
1308,17,5,6,7
1309,17,5,7,4
1310,17,5,8,3
1311,17,5,9,2
1312,17,5,10,2
1313,17,5,11,2
1314,17,6,3,40
1315,17,6,4,40
1316,17,6,5,40
1317,17,6,6,40
1318,17,6,7,7
1319,17,6,8,4
1320,17,6,9,3
1321,17,6,10,2
1322,17,6,11,2
1323,17,7,3,40
1324,17,7,4,40
1325,17,7,5,40
1326,17,7,6,40
1327,17,7,7,40
1328,17,7,8,7
1329,17,7,9,4
1330,17,7,10,3
1331,17,7,11,2
1332,17,8,3,40
1333,17,8,4,40
1334,17,8,5,40
1335,17,8,6,40
1336,17,8,7,40
1337,17,8,8,40
1338,17,8,9,7
1339,17,8,10,4
1340,17,8,11,3
1341,17,9,3,40
1342,17,9,4,40
1343,17,9,5,40
