,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
2173,16,11,9.5,40
2174,16,11,10,40
2175,16,11,10.5,40
2176,16,11,11,40
2177,16,11,11.5,40
2178,16,11.5,3,40
2179,16,11.5,3.5,40
2180,16,11.5,4,40
2181,16,11.5,4.5,40
2182,16,11.5,5,40
2183,16,11.5,5.5,40
2184,16,11.5,6,40
2185,16,11.5,6.5,40
2186,16,11.5,7,40
2187,16,11.5,7.5,40
2188,16,11.5,8,40
2189,16,11.5,8.5,40
2190,16,11.5,9,40
2191,16,11.5,9.5,40
2192,16,11.5,10,40
2193,16,11.5,10.5,40
2194,16,11.5,11,40
2195,16,11.5,11.5,40
2196,16,12,3,40
2197,16,12,3.5,40
2198,16,12,4,40
2199,16,12,4.5,40
2200,16,12,5,40
2201,16,12,5.5,40
2202,16,12,6,40
2203,16,12,6.5,40
2204,16,12,7,40
2205,16,12,7.5,40
2206,16,12,8,40
2207,16,12,8.5,40
2208,16,12,9,40
2209,16,12,9.5,40
2210,16,12,10,40
2211,16,12,10.5,40
2212,16,12,11,40
2213,16,12,11.5,40
2214,16,12.5,3,40
2215,16,12.5,3.5,40
2216,16,12.5,4,40
2217,16,12.5,4.5,40
2218,16,12.5,5,40
2219,16,12.5,5.5,40
2220,16,12.5,6,40
2221,16,12.5,6.5,40
2222,16,12.5,7,40
2223,16,12.5,7.5,40
2224,16,12.5,8,40
2225,16,12.5,8.5,40
2226,16,12.5,9,40
2227,16,12.5,9.5,40
2228,16,12.5,10,40
2229,16,12.5,10.5,40
2230,16,12.5,11,40
2231,16,12.5,11.5,40
2232,16,13,3,40
2233,16,13,3.5,40
2234,16,13,4,40
2235,16,13,4.5,40
2236,16,13,5,40
2237,16,13,5.5,40
2238,16,13,6,40
2239,16,13,6.5,40
2240,16,13,7,40
2241,16,13,7.5,40
2242,16,13,8,40
2243,16,13,8.5,40
2244,16,13,9,40
2245,16,13,9.5,40
2246,16,13,10,40
2247,16,13,10.5,40
2248,16,13,11,40
2249,16,13,11.5,40
2250,16,13.5,3,40
2251,16,13.5,3.5,40
2252,16,13.5,4,40
2253,16,13.5,4.5,40
2254,16,13.5,5,40
2255,16,13.5,5.5,40
2256,16,13.5,6,40
2257,16,13.5,6.5,40
2258,16,13.5,7,40
2259,16,13.5,7.5,40
2260,16,13.5,8,40
2261,16,13.5,8.5,40
2262,16,13.5,9,40
2263,16,13.5,9.5,40
2264,16,13.5,10,40
2265,16,13.5,10.5,40
2266,16,13.5,11,40
2267,16,13.5,11.5,40
2268,16,14,3,40
2269,16,14,3.5,40
2270,16,14,4,40
2271,16,14,4.5,40
2272,16,14,5,40
2273,16,14,5.5,40
2274,16,14,6,40
2275,16,14,6.5,40
