,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
1121,14,8,5.5,40
1122,14,8,6,40
1123,14,8,6.5,40
1124,14,8,7,40
1125,14,8,7.5,40
1126,14,8,8,40
1127,14,8,8.5,40
1134,14,8.5,3,40
1135,14,8.5,3.5,40
1136,14,8.5,4,40
1137,14,8.5,4.5,40
1138,14,8.5,5,40
1139,14,8.5,5.5,40
1140,14,8.5,6,40
1141,14,8.5,6.5,40
1142,14,8.5,7,40
1143,14,8.5,7.5,40
1144,14,8.5,8,40
1145,14,8.5,8.5,40
1152,14,9,3,40
1153,14,9,3.5,40
1154,14,9,4,40
1155,14,9,4.5,40
1156,14,9,5,40
1157,14,9,5.5,40
1158,14,9,6,40
1159,14,9,6.5,40
1160,14,9,7,40
1161,14,9,7.5,40
1162,14,9,8,40
1163,14,9,8.5,40
1170,14,9.5,3,40
1171,14,9.5,3.5,40
1172,14,9.5,4,40
1173,14,9.5,4.5,40
1174,14,9.5,5,40
1175,14,9.5,5.5,40
1176,14,9.5,6,40
1177,14,9.5,6.5,40
1178,14,9.5,7,40
1179,14,9.5,7.5,40
1180,14,9.5,8,40
1181,14,9.5,8.5,40
1188,14,10,3,40
1189,14,10,3.5,40
1190,14,10,4,40
1191,14,10,4.5,40
1192,14,10,5,40
1193,14,10,5.5,40
1194,14,10,6,40
1195,14,10,6.5,40
1196,14,10,7,40
1197,14,10,7.5,40
1198,14,10,8,40
1199,14,10,8.5,40
1206,14,10.5,3,40
1207,14,10.5,3.5,40
1208,14,10.5,4,40
1209,14,10.5,4.5,40
1210,14,10.5,5,40
1211,14,10.5,5.5,40
1212,14,10.5,6,40
1213,14,10.5,6.5,40
1214,14,10.5,7,40
1215,14,10.5,7.5,40
1216,14,10.5,8,40
1217,14,10.5,8.5,40
1224,14,11,3,40
1225,14,11,3.5,40
1226,14,11,4,40
1227,14,11,4.5,40
1228,14,11,5,40
1229,14,11,5.5,40
1230,14,11,6,40
1231,14,11,6.5,40
1232,14,11,7,40
1233,14,11,7.5,40
1234,14,11,8,40
1235,14,11,8.5,40
1242,14,11.5,3,40
1243,14,11.5,3.5,40
1244,14,11.5,4,40
1245,14,11.5,4.5,40
1246,14,11.5,5,40
1247,14,11.5,5.5,40
1248,14,11.5,6,40
1249,14,11.5,6.5,40
1250,14,11.5,7,40
1251,14,11.5,7.5,40
1252,14,11.5,8,40
1253,14,11.5,8.5,40
1260,14,12,3,40
1261,14,12,3.5,40
1262,14,12,4,40
1263,14,12,4.5,40
1264,14,12,5,40
1265,14,12,5.5,40
1266,14,12,6,40
1267,14,12,6.5,40
1268,14,12,7,40
1269,14,12,7.5,40
1270,14,12,8,40
1271,14,12,8.5,40
1278,14,12.5,3,40
1279,14,12.5,3.5,40
1280,14,12.5,4,40
1281,14,12.5,4.5,40
1282,14,12.5,5,40
1283,14,12.5,5.5,40
1284,14,12.5,6,40
1285,14,12.5,6.5,40
1286,14,12.5,7,40
1287,14,12.5,7.5,40
1288,14,12.5,8,40
1289,14,12.5,8.5,40
1296,14,13,3,40
1297,14,13,3.5,40
1298,14,13,4,40
1299,14,13,4.5,40
1300,14,13,5,40
1301,14,13,5.5,40
1302,14,13,6,40
1303,14,13,6.5,40
1304,14,13,7,40
1305,14,13,7.5,40
1306,14,13,8,40
1307,14,13,8.5,40
1314,14,13.5,3,40
1315,14,13.5,3.5,40
1316,14,13.5,4,40
1317,14,13.5,4.5,40
1318,14,13.5,5,40
1319,14,13.5,5.5,40
1320,14,13.5,6,40
1321,14,13.5,6.5,40
1322,14,13.5,7,40
1323,14,13.5,7.5,40
1324,14,13.5,8,40
1325,14,13.5,8.5,40
1332,14,14,3,40
1333,14,14,3.5,40
1334,14,14,4,40
1335,14,14,4.5,40
1336,14,14,5,40
1337,14,14,5.5,40
1338,14,14,6,40
1339,14,14,6.5,40
1340,14,14,7,40
1341,14,14,7.5,40
1342,14,14,8,40
1343,14,14,8.5,40
1350,14,14.5,3,40
1351,14,14.5,3.5,40
1352,14,14.5,4,40
1353,14,14.5,4.5,40
1354,14,14.5,5,40
1355,14,14.5,5.5,40
1356,14,14.5,6,40
1357,14,14.5,6.5,40
1358,14,14.5,7,40
1359,14,14.5,7.5,40
1360,14,14.5,8,40
1361,14,14.5,8.5,40
1368,14,15,3,40
1369,14,15,3.5,40
1370,14,15,4,40
1371,14,15,4.5,40
1372,14,15,5,40
1373,14,15,5.5,40
1374,14,15,6,40
1375,14,15,6.5,40
1376,14,15,7,40
1377,14,15,7.5,40
1378,14,15,8,40
1379,14,15,8.5,40
1386,14,15.5,3,40
1387,14,15.5,3.5,40
1388,14,15.5,4,40
1389,14,15.5,4.5,40
1390,14,15.5,5,40
1391,14,15.5,5.5,40
1392,14,15.5,6,40
1393,14,15.5,6.5,40
1394,14,15.5,7,40
1395,14,15.5,7.5,40
1396,14,15.5,8,40
1397,14,15.5,8.5,40
1404,15,3,3,40
1405,15,3,3.5,40
1406,15,3,4,40
1407,15,3,4.5,40
1408,15,3,5,8
1409,15,3,5.5,40
1410,15,3,6,6
1411,15,3,6.5,5
1412,15,3,7,4
