,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
442,12.0,15.0,8.0,40.0
443,12.0,15.0,8.5,40.0
444,12.0,15.0,9.0,40.0
445,12.0,15.0,9.5,40.0
446,12.0,15.0,10.0,40.0
447,12.0,15.0,10.5,40.0
448,12.0,15.0,11.0,40.0
449,12.0,15.0,11.5,40.0
450,12.0,15.5,3.0,40.0
451,12.0,15.5,3.5,40.0
452,12.0,15.5,4.0,40.0
453,12.0,15.5,4.5,40.0
454,12.0,15.5,5.0,40.0
455,12.0,15.5,5.5,40.0
456,12.0,15.5,6.0,40.0
457,12.0,15.5,6.5,40.0
458,12.0,15.5,7.0,40.0
459,12.0,15.5,7.5,40.0
460,12.0,15.5,8.0,40.0
461,12.0,15.5,8.5,40.0
462,12.0,15.5,9.0,40.0
463,12.0,15.5,9.5,40.0
464,12.0,15.5,10.0,40.0
465,12.0,15.5,10.5,40.0
466,12.0,15.5,11.0,40.0
467,12.0,15.5,11.5,40.0
468,13.0,3.0,3.0,40.0
469,13.0,3.0,3.5,6.0
470,13.0,3.0,4.0,2.0
471,13.0,3.0,4.5,1.0
472,13.0,3.0,5.0,1.0
473,13.0,3.0,5.5,1.0
474,13.0,3.0,6.0,1.0
475,13.0,3.0,6.5,1.0
476,13.0,3.0,7.0,1.0
477,13.0,3.0,7.5,1.0
478,13.0,3.0,8.0,1.0
479,13.0,3.0,8.5,1.0
480,13.0,3.0,9.0,1.0
481,13.0,3.0,9.5,1.0
482,13.0,3.0,10.0,1.0
483,13.0,3.0,10.5,1.0
484,13.0,3.0,11.0,1.0
485,13.0,3.0,11.5,1.0
486,13.0,3.5,3.0,40.0
487,13.0,3.5,3.5,40.0
488,13.0,3.5,4.0,6.0
489,13.0,3.5,4.5,2.0
490,13.0,3.5,5.0,1.0
491,13.0,3.5,5.5,1.0
492,13.0,3.5,6.0,1.0
493,13.0,3.5,6.5,1.0
494,13.0,3.5,7.0,1.0
495,13.0,3.5,7.5,1.0
496,13.0,3.5,8.0,1.0
497,13.0,3.5,8.5,1.0
498,13.0,3.5,9.0,1.0
499,13.0,3.5,9.5,1.0
500,13.0,3.5,10.0,1.0
501,13.0,3.5,10.5,1.0
502,13.0,3.5,11.0,1.0
503,13.0,3.5,11.5,1.0
504,13.0,4.0,3.0,40.0
505,13.0,4.0,3.5,40.0
506,13.0,4.0,4.0,40.0
507,13.0,4.0,4.5,6.0
508,13.0,4.0,5.0,2.0
509,13.0,4.0,5.5,1.0
510,13.0,4.0,6.0,1.0
511,13.0,4.0,6.5,1.0
512,13.0,4.0,7.0,1.0
513,13.0,4.0,7.5,1.0
514,13.0,4.0,8.0,1.0
515,13.0,4.0,8.5,1.0
516,13.0,4.0,9.0,1.0
517,13.0,4.0,9.5,1.0
518,13.0,4.0,10.0,1.0
519,13.0,4.0,10.5,1.0
520,13.0,4.0,11.0,1.0
521,13.0,4.0,11.5,1.0
522,13.0,4.5,3.0,40.0
523,13.0,4.5,3.5,40.0
524,13.0,4.5,4.0,40.0
525,13.0,4.5,4.5,40.0
526,13.0,4.5,5.0,6.0
527,13.0,4.5,5.5,2.0
528,13.0,4.5,6.0,1.0
529,13.0,4.5,6.5,1.0
530,13.0,4.5,7.0,1.0
531,13.0,4.5,7.5,1.0
532,13.0,4.5,8.0,1.0
533,13.0,4.5,8.5,1.0
534,13.0,4.5,9.0,1.0
535,13.0,4.5,9.5,1.0
536,13.0,4.5,10.0,1.0
537,13.0,4.5,10.5,1.0
538,13.0,4.5,11.0,1.0
539,13.0,4.5,11.5,1.0
540,13.0,5.0,3.0,40.0
541,13.0,5.0,3.5,40.0
542,13.0,5.0,4.0,40.0
543,13.0,5.0,4.5,40.0
544,13.0,5.0,5.0,40.0
545,13.0,5.0,5.5,6.0
546,13.0,5.0,6.0,2.0
547,13.0,5.0,6.5,1.0
548,13.0,5.0,7.0,1.0
549,13.0,5.0,7.5,1.0
550,13.0,5.0,8.0,1.0
551,13.0,5.0,8.5,1.0
552,13.0,5.0,9.0,1.0
553,13.0,5.0,9.5,1.0
554,13.0,5.0,10.0,1.0
555,13.0,5.0,10.5,1.0
556,13.0,5.0,11.0,1.0
557,13.0,5.0,11.5,1.0
558,13.0,5.5,3.0,40.0
559,13.0,5.5,3.5,40.0
560,13.0,5.5,4.0,40.0
561,13.0,5.5,4.5,40.0
562,13.0,5.5,5.0,40.0
563,13.0,5.5,5.5,40.0
564,13.0,5.5,6.0,6.0
565,13.0,5.5,6.5,2.0
566,13.0,5.5,7.0,1.0
567,13.0,5.5,7.5,1.0
568,13.0,5.5,8.0,1.0
569,13.0,5.5,8.5,1.0
570,13.0,5.5,9.0,1.0
571,13.0,5.5,9.5,1.0
572,13.0,5.5,10.0,1.0
573,13.0,5.5,10.5,1.0
574,13.0,5.5,11.0,1.0
575,13.0,5.5,11.5,1.0
576,13.0,6.0,3.0,40.0
577,13.0,6.0,3.5,40.0
578,13.0,6.0,4.0,40.0
579,13.0,6.0,4.5,40.0
580,13.0,6.0,5.0,40.0
581,13.0,6.0,5.5,40.0
582,13.0,6.0,6.0,40.0
583,13.0,6.0,6.5,6.0
584,13.0,6.0,7.0,2.0
585,13.0,6.0,7.5,1.0
586,13.0,6.0,8.0,1.0
587,13.0,6.0,8.5,1.0
588,13.0,6.0,9.0,1.0
589,13.0,6.0,9.5,1.0
590,13.0,6.0,10.0,1.0
591,13.0,6.0,10.5,1.0
592,13.0,6.0,11.0,1.0
593,13.0,6.0,11.5,1.0
594,13.0,6.5,3.0,40.0
595,13.0,6.5,3.5,40.0
596,13.0,6.5,4.0,40.0
597,13.0,6.5,4.5,40.0
598,13.0,6.5,5.0,40.0
599,13.0,6.5,5.5,40.0
600,13.0,6.5,6.0,40.0
601,13.0,6.5,6.5,40.0
602,13.0,6.5,7.0,6.0
603,13.0,6.5,7.5,2.0
604,13.0,6.5,8.0,1.0
605,13.0,6.5,8.5,1.0
606,13.0,6.5,9.0,1.0
607,13.0,6.5,9.5,1.0
608,13.0,6.5,10.0,1.0
609,13.0,6.5,10.5,1.0
610,13.0,6.5,11.0,1.0
611,13.0,6.5,11.5,1.0
612,13.0,7.0,3.0,40.0
613,13.0,7.0,3.5,40.0
614,13.0,7.0,4.0,40.0
615,13.0,7.0,4.5,40.0
616,13.0,7.0,5.0,40.0
617,13.0,7.0,5.5,40.0
618,13.0,7.0,6.0,40.0
619,13.0,7.0,6.5,40.0
620,13.0,7.0,7.0,40.0
621,13.0,7.0,7.5,6.0
622,13.0,7.0,8.0,2.0
623,13.0,7.0,8.5,1.0
624,13.0,7.0,9.0,1.0
625,13.0,7.0,9.5,1.0
626,13.0,7.0,10.0,1.0
627,13.0,7.0,10.5,1.0
628,13.0,7.0,11.0,1.0
629,13.0,7.0,11.5,1.0
630,13.0,7.5,3.0,40.0
631,13.0,7.5,3.5,40.0
632,13.0,7.5,4.0,40.0
633,13.0,7.5,4.5,40.0
634,13.0,7.5,5.0,40.0
635,13.0,7.5,5.5,40.0
636,13.0,7.5,6.0,40.0
637,13.0,7.5,6.5,40.0
638,13.0,7.5,7.0,40.0
639,13.0,7.5,7.5,40.0
640,13.0,7.5,8.0,6.0
641,13.0,7.5,8.5,2.0
642,13.0,7.5,9.0,1.0
643,13.0,7.5,9.5,1.0
644,13.0,7.5,10.0,1.0
645,13.0,7.5,10.5,1.0
646,13.0,7.5,11.0,1.0
647,13.0,7.5,11.5,1.0
648,13.0,8.0,3.0,40.0
649,13.0,8.0,3.5,40.0
650,13.0,8.0,4.0,40.0
651,13.0,8.0,4.5,40.0
652,13.0,8.0,5.0,40.0
653,13.0,8.0,5.5,40.0
654,13.0,8.0,6.0,40.0
655,13.0,8.0,6.5,40.0
656,13.0,8.0,7.0,40.0
657,13.0,8.0,7.5,40.0
658,13.0,8.0,8.0,40.0
659,13.0,8.0,8.5,6.0
660,13.0,8.0,9.0,2.0
661,13.0,8.0,9.5,1.0
662,13.0,8.0,10.0,1.0
663,13.0,8.0,10.5,1.0
664,13.0,8.0,11.0,1.0
665,13.0,8.0,11.5,1.0
666,13.0,8.5,3.0,40.0
667,13.0,8.5,3.5,40.0
668,13.0,8.5,4.0,40.0
669,13.0,8.5,4.5,40.0
670,13.0,8.5,5.0,40.0
671,13.0,8.5,5.5,40.0
672,13.0,8.5,6.0,40.0
673,13.0,8.5,6.5,40.0
674,13.0,8.5,7.0,40.0
675,13.0,8.5,7.5,40.0
676,13.0,8.5,8.0,40.0
677,13.0,8.5,8.5,40.0
678,13.0,8.5,9.0,6.0
679,13.0,8.5,9.5,2.0
680,13.0,8.5,10.0,1.0
681,13.0,8.5,10.5,1.0
682,13.0,8.5,11.0,1.0
683,13.0,8.5,11.5,1.0
684,13.0,9.0,3.0,40.0
685,13.0,9.0,3.5,40.0
686,13.0,9.0,4.0,40.0
687,13.0,9.0,4.5,40.0
688,13.0,9.0,5.0,40.0
689,13.0,9.0,5.5,40.0
690,13.0,9.0,6.0,40.0
691,13.0,9.0,6.5,40.0
692,13.0,9.0,7.0,40.0
693,13.0,9.0,7.5,40.0
694,13.0,9.0,8.0,40.0
695,13.0,9.0,8.5,40.0
696,13.0,9.0,9.0,40.0
697,13.0,9.0,9.5,6.0
698,13.0,9.0,10.0,2.0
699,13.0,9.0,10.5,1.0
700,13.0,9.0,11.0,1.0
701,13.0,9.0,11.5,1.0
702,13.0,9.5,3.0,40.0
703,13.0,9.5,3.5,40.0
704,13.0,9.5,4.0,40.0
705,13.0,9.5,4.5,40.0
706,13.0,9.5,5.0,40.0
707,13.0,9.5,5.5,40.0
708,13.0,9.5,6.0,40.0
709,13.0,9.5,6.5,40.0
710,13.0,9.5,7.0,40.0
711,13.0,9.5,7.5,40.0
712,13.0,9.5,8.0,40.0
713,13.0,9.5,8.5,40.0
714,13.0,9.5,9.0,40.0
715,13.0,9.5,9.5,40.0
716,13.0,9.5,10.0,6.0
717,13.0,9.5,10.5,2.0
718,13.0,9.5,11.0,1.0
